,name,price/day,url,doors,seats,fuel_type,mpg,vehicle_type,competitors,year
0,Tesla Model S,112,https://turo.com/us/en/car-rental/united-states/reno-nv/tesla/model-s/1144109?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Electric,nan,car,,2016
1,Land Rover Defender,137,https://turo.com/us/en/suv-rental/united-states/reno-nv/land-rover/defender/1404635?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,18,suv,,2022
2,Ford Ranger,92,https://turo.com/us/en/truck-rental/united-states/reno-nv/ford/ranger/899253?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,24,truck,,2021
3,Maserati Levante,168,https://turo.com/us/en/suv-rental/united-states/reno-nv/maserati/levante/721638?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,17,suv,,2017
4,Jeep Wrangler Unlimited,86,https://turo.com/us/en/suv-rental/united-states/reno-nv/jeep/wrangler-unlimited/1181529?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,nan,nan,nan,nan,suv,Jeep Wrangler,2021
5,BMW X5,85,https://turo.com/us/en/suv-rental/united-states/reno-nv/bmw/x5/862994?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,5,7,nan,22,suv,BMW X5,2012
6,Ford F-150,99,https://turo.com/us/en/truck-rental/united-states/reno-nv/ford/f-150/1034095?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,14,truck,,2014
7,Tesla Model X,171,https://turo.com/us/en/suv-rental/united-states/reno-nv/tesla/model-x/1397040?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,7,Electric,nan,suv,,2021
8,Honda Pilot,90,https://turo.com/us/en/suv-rental/united-states/reno-nv/honda/pilot/1179250?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,8,Gas,24,suv,,2016
9,Ford F-150,102,https://turo.com/us/en/truck-rental/united-states/reno-nv/ford/f-150/1213477?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,22,truck,,2017
10,BMW X5,119,https://turo.com/us/en/suv-rental/united-states/reno-nv/bmw/x5/1241942?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,24,suv,BMW X5,2022
11,MINI Cooper Countryman,66,https://turo.com/us/en/car-rental/united-states/reno-nv/mini/cooper-countryman/1382333?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,28,car,,2014
12,Tesla Model Y,139,https://turo.com/us/en/suv-rental/united-states/reno-nv/tesla/model-y/1203146?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,5,5,Electric,nan,suv,,2021
13,Mazda MX-5 Miata RF,90,https://turo.com/us/en/car-rental/united-states/sparks-nv/mazda/mx-5-miata-rf/1174915?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,2,2,Gas,30,car,,2020
14,Tesla Model Y,149,https://turo.com/us/en/suv-rental/united-states/reno-nv/tesla/model-y/1058972?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Electric,nan,suv,,2021
15,Jeep Wrangler Unlimited,86,https://turo.com/us/en/suv-rental/united-states/reno-nv/jeep/wrangler-unlimited/1326035?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,nan,suv,Jeep Wrangler,2020
16,Land Rover Discovery,140,https://turo.com/us/en/suv-rental/united-states/reno-nv/land-rover/discovery/1256794?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,7,Gas,nan,suv,,2017
17,Jeep Grand Cherokee,115,https://turo.com/us/en/suv-rental/united-states/sparks-nv/jeep/grand-cherokee/1320240?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,22,suv,,2021
18,Tesla Model Y,134,https://turo.com/us/en/suv-rental/united-states/reno-nv/tesla/model-y/1399488?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Electric,nan,suv,,2021
19,Audi Q7,86,https://turo.com/us/en/suv-rental/united-states/reno-nv/audi/q7/1189176?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,8,Gas,22,suv,Audi Q7,2017
20,Tesla Model Y,176,https://turo.com/us/en/suv-rental/united-states/reno-nv/tesla/model-y/1172519?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Electric,nan,suv,,2021
21,Kia K5,82,https://turo.com/us/en/car-rental/united-states/reno-nv/kia/k5/1325785?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,29,car,,2022
22,Ford Mustang,67,https://turo.com/us/en/car-rental/united-states/reno-nv/ford/mustang/1326051?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,2,4,Gas,nan,car,,2020
23,Subaru Outback,89,https://turo.com/us/en/car-rental/united-states/reno-nv/subaru/outback/1419092?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,26,car,,2022
24,Jeep Wrangler,86,https://turo.com/us/en/suv-rental/united-states/reno-nv/jeep/wrangler/1071267?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,4,Gas,21,suv,Jeep Wrangler,2018
25,Toyota Tundra,100,https://turo.com/us/en/truck-rental/united-states/reno-nv/toyota/tundra/1061914?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,15,truck,,2016
26,Cadillac XT5,106,https://turo.com/us/en/suv-rental/united-states/reno-nv/cadillac/xt5/917219?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,23,suv,,2017
27,Audi A4,83,https://turo.com/us/en/car-rental/united-states/reno-nv/audi/a4/1015187?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,26,car,,2015
28,Subaru Outback,94,https://turo.com/us/en/car-rental/united-states/reno-nv/subaru/outback/1094718?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,5,5,Gas,30,car,,2021
29,Jeep Wrangler,115,https://turo.com/us/en/suv-rental/united-states/sparks-nv/jeep/wrangler/1331375?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,19,suv,Jeep Wrangler,2017
30,Land Rover Range Rover Sport,161,https://turo.com/us/en/suv-rental/united-states/reno-nv/land-rover/range-rover-sport/909391?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,20,suv,,2016
31,Volkswagen Golf GTI,79,https://turo.com/us/en/car-rental/united-states/sparks-nv/volkswagen/golf-gti/1196256?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,nan,car,,2019
32,Jeep Wrangler Unlimited,99,https://turo.com/us/en/suv-rental/united-states/reno-nv/jeep/wrangler-unlimited/766393?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,22,suv,Jeep Wrangler,2020
33,Jeep Wrangler,108,https://turo.com/us/en/suv-rental/united-states/sparks-nv/jeep/wrangler/1035442?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,nan,Gas,20,suv,Jeep Wrangler,2018
34,Hyundai Kona,81,https://turo.com/us/en/suv-rental/united-states/sparks-nv/hyundai/kona/1361073?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,30,suv,,2020
35,Toyota 4Runner,110,https://turo.com/us/en/suv-rental/united-states/reno-nv/toyota/4runner/1205732?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,7,Gas,20,suv,,2016
